电影名,年份,时长,评论,下载链接,导演,主演,分类,地区,评分,计划观看人数,简介
2001太空漫游,1968,,50年了啊。有多少科幻电影能过了50年都感觉不过时的？贴心！了解很多下了解一下顺势推一波DC版的《闪灵》上首页吧当年资料馆库展二刷,"http://pan.baidu.com/s/1bo4mBDX, ed2k://|file|2001.A.Space.Odyssey.1968.2001太空漫游.双语字幕.HR-HDTV.AC3.1024X576.x264.mkv|2439458322|f45a9bc7f67d4fa248ccd754d1cdba5a|h=zjmz6ojwkk7ccc3eekg5rmdahrknabnf|/, ed2k://|file|2001.A.Space.Odyssey.Blu-ray.720p.DTS.x264-CtrlHD.mkv|7015140185|B67E3218AE0811C3D3AC8CC7DFCDA4DC|h=NBOFFDHPOZ7S5PY7G7WVNAT4WGNMGHVV|/, ed2k://|file|[2001太空漫游].2001.A.Space.Odyssey.1986.Blu-ray.x264.720P.DD51.MySilu.mkv|4686418833|467f47b9ac80ae5bd4e8cd0b6b28e817|h=dxw6exha5hmzvn6chvqyhyfjhilkukz3|/, magnet:?xt=urn:btih:d8597360a58dc2df62425957769a1da8e647d4a4&www=pniao.com, magnet:?xt=urn:btih:78b57aa4963153ee09bd761833bdfea2a1b59c4e&www=pniao.com, magnet:?xt=urn:btih:36A03577CE9DEB0DE33B4A30A3E3E4B54FD48C42&www=pniao.com, magnet:?xt=urn:btih:ba9eb46e042aba8e4f5af70ef1df1e92cab12596&www=pniao.com, magnet:?xt=urn:btih:6c2fc56c789b57c3c0516c4ef1d3fcba8569871c&www=pniao.com, magnet:?xt=urn:btih:d1fa717605b76b4d1aa263c9e98dedaa613e3cff&www=pniao.com, magnet:?xt=urn:btih:29a6c26ad5e0c87cfc2bc7ec7bb5f07fae233a76&www=pniao.com, magnet:?xt=urn:btih:9896b8da073f8a56c49f2c425b7dc1fd4d5fb603&www=pniao.com, magnet:?xt=urn:btih:10bb513f458c84b5c9e56ffc3fee6d622a09467c&www=pniao.com",斯坦利·库布里克,凯尔·杜拉,"科幻,惊悚,冒险",英国,8.6,212,斯坦利·库布里克未来三部曲之一，根据科幻小说家亚瑟·克拉克小说改编的美国科幻电影，被誉为“现代科幻电影技术的里程碑”。[ 本片获得当年最佳美术指导、最佳导演、最佳编剧等4项奥斯卡奖提名，获最佳视觉效果奖，获1968年英国电影学院最佳摄影、最...
人生密密缝,2017,127,感谢!,"http://pan.baidu.com/s/1eSmxBou, http://pan.baidu.com/s/1geFR1XT 密码:vfg4, ed2k://|file|当他们认真编织时.Karera.ga.Honki.de.Amu.Toki.wa.Chi_Jap.BDrip.720p-ZhuixinFan(pniao.com).mp4|1715699798|3ac05755afa25474bc200753a65df406|h=exze3u4k2jgtbqbnjo2p7bc6ckohjmmm|/, magnet:?xt=urn:btih:A5F801FB1E449EAE1FDA831B6600F430D5BD3D9D&dn=当他们认真编织时.Karera.ga.Honki.de.Amu.Toki.wa.Chi_Jap.BDrip.720p-ZhuixinFan.mp4&www=pniao.com, magnet:?xt=urn:btih:dad7d7a50fe7f3a2c87ada30c0b59f71d4902250&www=pniao.com, magnet:?xt=urn:btih:9e0322ad528b7491fecd4667e43c621d014c70c1&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV85b2T5LuW5Lus6K6k55yf57yW57uH5pe2LkthcmVyYS5nYS5Ib25raS5kZS5BbXUuVG9raS53YS5DaGlfSmFwLkJEcmlwLjcyMHAtWmh1aXhpbkZhbi5tcDR8MTcxNTY5OTc5OHwzYWMwNTc1NWFmYTI1NDc0YmMyMDA3NTNhNjVkZjQwNnxoPWV4emUzdTRrMmpndGJxYm5qbzJwN2JjNmNrb2hqbW1tfC9aWg==",荻上直子,生田斗真,"剧情,同性,家庭",日本,8.4,124,《海鸥食堂》的导演荻上直子时隔5年之后的新作，根据2013年真实新闻改编而来，讲述患有性同一性障碍的主人公，和他的恋人，以及恋人的侄女奇妙的共同生活的温馨故事。片中生田斗真首次挑战变性人的角色，桐谷健太则饰演其恋人，两人在同侄女的相处中，学...
枪火,1999,84,,"magnet:?xt=urn:btih:7ED2E5B229BB1DFA16FF54F549B376B0F838963F&www=pniao.com, thunder://QUFmdHA6Ly82dmR5OjZ2ZHlANnZkeS4zNnlzLmNvbTozNDg4LyVFMyU4MCU5MDZWJUU3JTk0JUI1JUU1JUJEJUIxd3d3LjZ2ZHkuY29tJUUzJTgwJTkxJUU2JTlFJUFBJUU3JTgxJUFCRFZEJUU1JTlCJUJEJUU4JUFGJUFEJUU0JUI4JUFEJUU1JUFEJTk3JUU2JTk1JUIwJUU3JUEwJTgxJUU0JUJGJUFFJUU1JUE0JThEJUU3JTg5JTg4LnJtdmJaWg==",杜琪峰,吴镇宇,"剧情,动作,犯罪",香港,8.6,49,银河映像出品的黑帮片，由杜琪峰执导，黄秋生 、吴镇宇 、吕颂贤、任达华等主演。 该片讲述了黑帮龙头被追杀，于是聘请一班黑道中人保护，在这个过程发生了一场黑帮兄弟之间的枪战。2000年该片获得了第5届香港电影金紫荆奖最佳电影等奖项
奇怪的她,2014,124,,"ed2k://|file|奇怪的她.Miss.Granny.2014.BD.MiniSD-TLF.mkv|953260373|67DC98DDBF03E0AC7F64948A20987B9B|/, magnet:?xt=urn:btih:8e0d81a5877b65f7e4825b545313d4eafc00c7b1&www=pniao.com, magnet:?xt=urn:btih:f275aef16d612dfc497782f00ff6b9671b1b9bf9&www=pniao.com, magnet:?xt=urn:btih:2E33AD2376BE6E43A9CB81A3B3D786646008ABB7&www=pniao.com, magnet:?xt=urn:btih:008A8D427E20A3287C562A622857079A810148C1&www=pniao.com",黄东赫,沈恩京,"喜剧,奇幻",韩国,8.3,19,由黄东赫执导的韩国喜剧电影，讲述了70多岁的老奶奶突然变成了20多岁的花季女子的奇幻故事。由沈恩京、罗文姬等主演。 该片票房达到865万观影人次，位居韩国2014年电影票房第二位。在第19届春史电影节获得最佳剧本奖，女主角沈恩京更凭借该片获...
荒野生存,2007,,,"ed2k://|file|Into.the.Wild.2007.荒野生存.双语字幕.HR-HDTV.AC3.1024x576.x264-人人影视制作.mkv|2311620664|A8DC5A36BB3B884DCD86885373F6AA24|h=CC3MOTLEDMBZRXTDIETFYOCTY5DQR7VE|/, ed2k://|file|Into.the.Wild.2007.720p.BRRip.x264.AC3.dxva-HDLiTE.mkv|3324839007|518758EE5BD76CF0BFD19588653377DB|h=C5XAHEZROWJVYL6L3C475BFBM52BGNX7|/, magnet:·xt=urn:btih:XYNRWJFRP3RGMYAQUSQADRQBGCJJRVKA&www=pniao.com, magnet:?xt=urn:btih:f171b53a294a1ce31c2ab76aa19dcb324aa743dd&www=pniao.com, magnet:?xt=urn:btih:ba1d1730afedd48d8569b3d0ed256045d978a010&www=pniao.com, magnet:?xt=urn:btih:24b49f4db8e7f17ee3baf9c42cf4e30e574c8e97&www=pniao.com, magnet:?xt=urn:btih:1bc78464b9332d0e6a0d76e397de1b3a78f5b042&www=pniao.com, magnet:?xt=urn:btih:930e4cb6df8af8453851c18f0eceae1a9de6a21c&www=pniao.com, magnet:?xt=urn:btih:e2de6fb6ea234fab006153eaf60f78f77363ee54&www=pniao.com, magnet:?xt=urn:btih:2b48f364420c4df9899b87e6848f00620355b8f5&www=pniao.com, magnet:?xt=urn:btih:01445b0b694e1693f07f78f390948209013bd176&www=pniao.com, magnet:?xt=urn:btih:aef965ebddc1b8035efd82ae1d08570dea28674d&www=pniao.com, magnet:?xt=urn:btih:c96847a077ee5eca70f51ac69238e2274e6671fd&www=pniao.com, magnet:?xt=urn:btih:f6d33ae1e93b0cf3bf56546a8f11e823044bf541&www=pniao.com, magnet:?xt=urn:btih:f91fb8da481992a0d4ee7c34e99f421783c1ec1a&www=pniao.com, magnet:?xt=urn:btih:6e88e8a54e2f3c3ac86209b48222636c968537fc&www=pniao.com, magnet:?xt=urn:btih:f82ae34dc629088a9034f2a81239588880e9ffbb&www=pniao.com, magnet:?xt=urn:btih:24d7438ce837c00da4d78dccbd60a9c13f0d446a&www=pniao.com, magnet:?xt=urn:btih:898C353BC221B4975C1AD8E87DF0BDE41EABBA24&www=pniao.com, magnet:?xt=urn:btih:537374064E2BD92ECED89F944557E115CD460BD3&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV8SW50by50aGUuV2lsZC4yMDA3LuiNkumHjueUn+WtmC7lj4zor63lrZfluZUuSFItSERUVi5BQzMuMTAyNHg1NzYueDI2NC3kurrkurrlvbHop4bliLbkvZwubWt2fDIzMTE2MjA2NjR8QThEQzVBMzZCQjNCODg0RENEODY4ODUzNzNGNkFBMjR8aD1DQzNNT1RMRURNQlpSWFRESUVURllPQ1RZNURRUjdWRXwvWlo=, thunder://QUFlZDJrOi8vfGZpbGV8SW50by50aGUuV2lsZC4yMDA3LjcyMHAuQlJSaXAueDI2NC5BQzMuZHh2YS1IRExpVEUubWt2fDMzMjQ4MzkwMDd8NTE4NzU4RUU1QkQ3NkNGMEJGRDE5NTg4NjUzMzc3REJ8aD1DNVhBSEVaUk9XSlZZTDZMM0M0NzVCRkJNNTJCR05YN3wvWlo=",西恩·潘,埃米尔·赫斯基,"剧情,传记,冒险",美国,,46,由西恩·潘执导，埃米尔·赫斯基、玛西娅·盖伊·哈登、威廉·赫特、凯瑟琳·基纳等主演的冒险电影。改编自乔恩·克拉考尔于1998年出版的同名畅销小说，取材于发生在1992年的真实事件，讲述了一个理想主义和超验主义者克里斯多夫·强森·麦坎得勒斯因...
罪恶之家,2015,87,,"http://pan.baidu.com/s/1nto1iRJ, ed2k://|file|罪恶之家.An.Inspector.Calls.720p.HDTV.x264.双语字幕-深影字幕组V2.mkv|845521559|22AA92DBAE5D09088B14647B65E3641C|h=GBIKVEMIJKNIXW2JOY3EYWKFNPCO3DS5|/, magnet:?xt=urn:btih:dc6caf7afec0bc47a7abc07fda10014b77f620e5&www=pniao.com, magnet:?xt=urn:btih:DA8F33C4240534AEC2DA950B3D853CA27F8D732E&www=pniao.com, magnet:?xt=urn:btih:d05a5d5bbcdbee7e898533827c1283560dcb2281&www=pniao.com",艾斯林·沃什,大卫·休里斯,"剧情,悬疑",英国,8.3,17,改编自英国70年前的经典同名话剧，故事背景设定在1912年的一户富贾人家，讲述了一位“幽灵”探长在这家女儿订婚宴上突然造访所发生的步步逼近、一波三折的故事，影片最后一段实在精彩，演员表演也无懈可击，完美展现了剧中人物的性格及心理变化。
美食总动员,2007,111,,"http://pan.baidu.com/s/1kUJ1Ob1 密码:dxd2, ed2k://|file|Ratatouille.2007.料理鼠王.双语字幕.HR-HDTV.AAC.1024X576.x264-人人影视制作.Sample.mkv|32092510|9DC36D6D8449FA3092259649280E8803|h=CLTS6J4ZVRZ4ITMJ5YX3HZ3TI7TLJPCD|/, ed2k://|file|Ratatouille.2007.料理鼠王.双语字幕.HR-HDTV.AAC.1024X576.x264-人人影视制作.mkv|1657757497|923296BE4AC33A8CEEB74A1EFE9FD66F|h=RSE3N54Y6XPJYW4I5KCG7SDGM72CXVVY|/, ed2k://|file|Pixar.Short.Films.Collection.2007.Your.Friend.The.Rat.你的老鼠朋友.HR-HDTV.AC3.1024X576.x264-人人影视制作.mkv|184810994|EFB448826F43E0947CB6C241984438AA|h=X3CZSDJE5BBUAIKN4JNGUFNIKDFDPCYC|/, ed2k://|file|Ratatouille.2007.1080p.Half-SBS.3D.BluRay.x264.DTS-WiKi.mkv|10261838032|905454830595613AC65C6CBDD7351CE5|h=7L2YZXJERAFDHNF4S7QF2MIB4ZLO6YHB|/, ed2k://|file|Ratatouille.2007.BluRay.720p.x264.DTS-WiKi.mkv|7026984335|FCBE5E8733722969AAD81561EE3C218C|h=N5PSAF6ZSKIFM7TVOBS3SRDLDLICL44E|/, ed2k://|file|Ratatouille.2007.BluRay.1080p.x264.DTS-WiKi.mkv|11703905654|DA4AEB5928F488AD897B6C531F0BD11E|h=H3ONLS77QPZQF3UCOMPYC7CMSDO3SDC6|/, ed2k://|file|料理鼠王.Ratatouille.2007.BDRip.x264.3AAC.miniSD-TLF.mkv|705908929|0A97E0CB590FC45EE7D83B6E7D205343|h=KO3RWRJCTRG2BICPDSQPYGCUGWEWTFL7|/, magnet:?xt=urn:btih:325110c223c742ccab9b8c2b7ca3b98b8fa259d5&www=pniao.com, magnet:?xt=urn:btih:8f53e9ee994b31daba23d844ad3dd48f6c12f4de&www=pniao.com, magnet:?xt=urn:btih:5bd4a5fa6acb65b19f2611e28657eb3b07fcf1af&www=pniao.com, magnet:?xt=urn:btih:758ff7d4f67755d797e9d4309705fd5a6529e9f8&www=pniao.com, magnet:?xt=urn:btih:46905a0a8836e3b3cc8ff080899e35871c49d524&www=pniao.com, magnet:?xt=urn:btih:bdc5e057fdb2f9bb7a7be442bc23079ff3ac6776&www=pniao.com, magnet:?xt=urn:btih:f0e38bec7d30cbdd307daad15323425af72f8726&www=pniao.com, magnet:?xt=urn:btih:6bac37b7b5edda6947707df4cca9db1335c9629b&www=pniao.com, magnet:?xt=urn:btih:683afcbbae6ef9900a8b2bb4fea29aa97a01dc98&www=pniao.com, magnet:?xt=urn:btih:65fcb8da7a9197c27e21e6425fb15941b879761a&www=pniao.com, magnet:?xt=urn:btih:6b6364f117d4b40d5643a6f2d23390f7f8943fde&www=pniao.com, magnet:?xt=urn:btih:0B98AB76E66EA2698110A6D6240875AC9C7F9C26&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV8UmF0YXRvdWlsbGUuMjAwNy7mlpnnkIbpvKDnjosu5Y+M6K+t5a2X5bmVLkhSLUhEVFYuQUFDLjEwMjRYNTc2LngyNjQt5Lq65Lq65b2x6KeG5Yi25L2cLlNhbXBsZS5ta3Z8MzIwOTI1MTB8OURDMzZENkQ4NDQ5RkEzMDkyMjU5NjQ5MjgwRTg4MDN8aD1DTFRTNko0WlZSWjRJVE1KNVlYM0haM1RJN1RMSlBDRHwvWlo=, thunder://QUFlZDJrOi8vfGZpbGV8UmF0YXRvdWlsbGUuMjAwNy7mlpnnkIbpvKDnjosu5Y+M6K+t5a2X5bmVLkhSLUhEVFYuQUFDLjEwMjRYNTc2LngyNjQt5Lq65Lq65b2x6KeG5Yi25L2cLm1rdnwxNjU3NzU3NDk3fDkyMzI5NkJFNEFDMzNBOENFRUI3NEExRUZFOUZENjZGfGg9UlNFM041NFk2WFBKWVc0STVLQ0c3U0RHTTcyQ1hWVll8L1pa, thunder://QUFlZDJrOi8vfGZpbGV8UGl4YXIuU2hvcnQuRmlsbXMuQ29sbGVjdGlvbi4yMDA3LllvdXIuRnJpZW5kLlRoZS5SYXQu5L2g55qE6ICB6byg5pyL5Y+LLkhSLUhEVFYuQUMzLjEwMjRYNTc2LngyNjQt5Lq65Lq65b2x6KeG5Yi25L2cLm1rdnwxODQ4MTA5OTR8RUZCNDQ4ODI2RjQzRTA5NDdDQjZDMjQxOTg0NDM4QUF8aD1YM0NaU0RKRTVCQlVBSUtONEpOR1VGTklLREZEUENZQ3wvWlo=, thunder://QUFlZDJrOi8vfGZpbGV8UmF0YXRvdWlsbGUuMjAwNy4xMDgwcC5IYWxmLVNCUy4zRC5CbHVSYXkueDI2NC5EVFMtV2lLaS5ta3Z8MTAyNjE4MzgwMzJ8OTA1NDU0ODMwNTk1NjEzQUM2NUM2Q0JERDczNTFDRTV8aD03TDJZWlhKRVJBRkRITkY0UzdRRjJNSUI0WkxPNllIQnwvWlo=, thunder://QUFlZDJrOi8vfGZpbGV8UmF0YXRvdWlsbGUuMjAwNy5CbHVSYXkuNzIwcC54MjY0LkRUUy1XaUtpLm1rdnw3MDI2OTg0MzM1fEZDQkU1RTg3MzM3MjI5NjlBQUQ4MTU2MUVFM0MyMThDfGg9TjVQU0FGNlpTS0lGTTdUVk9CUzNTUkRMRExJQ0w0NEV8L1pa, thunder://QUFlZDJrOi8vfGZpbGV8UmF0YXRvdWlsbGUuMjAwNy5CbHVSYXkuMTA4MHAueDI2NC5EVFMtV2lLaS5ta3Z8MTE3MDM5MDU2NTR8REE0QUVCNTkyOEY0ODhBRDg5N0I2QzUzMUYwQkQxMUV8aD1IM09OTFM3N1FQWlFGM1VDT01QWUM3Q01TRE8zU0RDNnwvWlo=, thunder://QUFmdHA6Ly82OjZAZnRwLmthbjY2LmNvbTo0MTI3LyVFMyU4MCU5MDZ2JUU3JTk0JUI1JUU1JUJEJUIxd3d3LmR5MTMxLmNvbSVFMyU4MCU5MSVFNiU5NiU5OSVFNyU5MCU4NiVFOSVCQyVBMCVFNyU4RSU4QkJEJUU0JUI4JUFEJUU4JThCJUIxJUU1JThGJThDJUU1JUFEJTk3MTI4MCVFOSVBQiU5OCVFNiVCOCU4NS5ybXZiWlo=",布拉德·伯德,帕顿·奥斯瓦尔特,"喜剧,动画,奇幻",美国,8.2,10,第80届奥斯卡金像奖最佳动画长片，皮克斯动画制作室制作。由布拉德·伯德执导。讲述一只原本注定在垃圾堆度过平淡一生的小老鼠小米，梦想成为站在世界之巅的美味大厨。一次偶然机会，瑞米来到了厨神餐厅，认识了资质平平却认真的学徒林奎尼，瑞米帮助他做出...
勇闯夺命岛,1996,136,,"http://pan.baidu.com/s/1qYe9vBm 密码:v2oq, ed2k://|file|The.Rock.1996.720p.BluRay.DTS.x264-ESiR.mkv|8483434642|2FF1A1BAA580E9B78BD69374D344C525|h=6NK4LGMFUCCOIKPXVCLF2ND4427UJOEB|/, ed2k://|file|The.Rock.勇闯夺命岛.HR-HDTV.AC3.1024X576.X264-人人影视制作.mkv|2323013672|4AC97A8F41EB8BDEE57D9713F766518B|h=FGQAXT7VR75Z2Q6FS633JVJYP5RGSYGI|/, magnet:?xt=urn:btih:9e5bb656bdd42d2efabfc0dda30102bb73bc01d2&www=pniao.com, magnet:?xt=urn:btih:6d80432466a50aede2c028f1b4ec031a9532914c&www=pniao.com, magnet:?xt=urn:btih:ff9d56ab3f46bacd959b4e4f02110fc9fb065361&www=pniao.com, magnet:?xt=urn:btih:8328c66fe2065757ad80422d241ab7e6ba6dbb3c&www=pniao.com, magnet:?xt=urn:btih:1356de87d698a4c241fb2c1c7543528eef5f98d8&www=pniao.com, magnet:?xt=urn:btih:8e2d7ef95db7e92314744120fb8fd615b9aa17be&www=pniao.com, magnet:?xt=urn:btih:a6604dac3c5c706bbe07e68a2484a13ed50572b5&www=pniao.com, magnet:?xt=urn:btih:a88eb3cfe8dffab4240bac0b0f9c41d228f904ae&www=pniao.com, magnet:?xt=urn:btih:7f09df9156ebd387b0f995904cb540e7800ac2a5&www=pniao.com, magnet:?xt=urn:btih:0864f4468936c14f424b8e9f152e9c5165efe31a&www=pniao.com, magnet:?xt=urn:btih:e26cab7625cd1d2c00897e64b6be2b52e2155807&www=pniao.com, magnet:?xt=urn:btih:55b3854476551a1b0ef27e131b129e542ba9afac&www=pniao.com, magnet:?xt=urn:btih:6990DB4023C3AB943A4E7DBE57D86606CA633027&www=pniao.com, magnet:?xt=urn:btih:554B1FF46EE4B44DE21EC9528A7220E27ACD9F99&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV8VGhlLlJvY2su5YuH6Zev5aS65ZG95bKbLkhSLUhEVFYuQUMzLjEwMjRYNTc2LlgyNjQt5Lq65Lq65b2x6KeG5Yi25L2cLm1rdnwyMzIzMDEzNjcyfDRBQzk3QThGNDFFQjhCREVFNTdEOTcxM0Y3NjY1MThCfGg9RkdRQVhUN1ZSNzVaMlE2RlM2MzNKVkpZUDVSR1NZR0l8L1pa, thunder://QUFlZDJrOi8vfGZpbGV8VGhlLlJvY2suMTk5Ni43MjBwLkJsdVJheS5EVFMueDI2NC1FU2lSLm1rdnw4NDgzNDM0NjQyfDJGRjFBMUJBQTU4MEU5Qjc4QkQ2OTM3NEQzNDRDNTI1fGg9Nk5LNExHTUZVQ0NPSUtQWFZDTEYyTkQ0NDI3VUpPRUJ8L1pa, thunder://QUFmdHA6Ly9keTpkeUB4bGEueHVuYm8uY2M6NDAxMzUvW9G4wNfPwtTYd3d3Llh1bkJvLkNjXdPCtLO24cP8tbouQkQxMjgwuN/H5dbQ06LLq9fWLnJtdmJaWg==",迈克尔·贝,肖恩·康纳利,"动作,冒险",美国,8.5,21,动作惊悚片，由迈克尔·贝执导，尼古拉斯·凯奇、肖恩·康纳利、艾德·哈里斯等主演。 主要讲述一群海军陆战队的军官不满美国政府对于那些被派往海外执行非法任务而丧命的官兵的待遇而偷窃VX神经毒气导弹，以此要挟美国政府来给于死去的人以一个公正的评价...
情人,1992,,学校老师曾经在课上放过这部电影男主坐在车里目送船驶走的一段作为课件，我当时没在意，没有记住电影名字，后来有一次回想起来觉得蛮值得回味，然而死活记不清名字，各种百度爱人女朋友情人什么的乱搜一通也没找到，就记得情节是法国少女和一个中国人疑似summer love的爱然后分别，也搜不出来，于是放弃了，没想到在胖鸟乱逛被我撞到了！有种近似失而复得的喜悦，于是啰嗦一堆。总之感谢胖鸟，站主辛苦,,让-雅克·阿诺,珍·玛奇,"剧情,爱情,情色",法国,,65,由让·雅克·阿诺执导，珍·玛奇、梁家辉主演的爱情片。法国作家玛格丽特·杜拉斯的小说改编，讲述法国少女与中国阔少之间的凄美故事，法国电影一向有其独特的魅力，小说中的文字在电影还原的非常细腻，尺度虽大却不夹杂一丝恶俗。
杰出公民,2016,118,小生，磁力第一部下载下来是有澳门赌场广告的，希望去掉那一版别让其他人下啦,"https://pan.baidu.com/s/1gfnMOfD 密码:j79r, http://www.pniao.com/p/zimu/6/1514433669.rar, magnet:?xt=urn:btih:C9BEF003A604B783F383CC23D867EFD99F601C6B&www=pniao.com, magnet:?xt=urn:btih:B990054FFA530A3A6262A0B2710DE7D613E28625&www=pniao.com, magnet:?xt=urn:btih:C82ADF98266F5A2F04045B559EB511F6E3DDA09E&dn=杰出公民.The.Distinguished.Citizen.2016.BD720P.X264.AAC.Spanish.CHS.Mp4Ba.mp4&www=pniao.com, magnet:?xt=urn:btih:4B06526BD2B4AD769C15873EBCD82D1BE1E3F9C3&dn=杰出公民.The.Distinguished.Citizen.2016.BD1080P.X264.AAC.Spanish.CHS.Mp4Ba&www=pniao.com, magnet:?xt=urn:btih:B82CB684FDC588F79431B66FA9E750DAE7004E04&dn=杰出公民.El.ciudadano.ilustre.2016.1080p.WEB-DL.西语中字@塔拉Tala.mp4&www=pniao.com, magnet:?xt=urn:btih:3B0C09B276E371D48E4938078CAAF74E4A8C2604&dn=The.Distinguished.Citizen.2016.1080p.BRRip.x264.AC3.HORiZON-ArtSubs.mkv&www=pniao.com, magnet:?xt=urn:btih:7BD1E350AFA00E8F93FA80E5F1E8EA4C98ED732F&dn=The.Distinguished.Citizen.2016.720p.BluRay.DTS.x264-HDS[lightyear.club]&www=pniao.com, magnet:?xt=urn:btih:2F35EED4387A5DC5B3A20108EC70571F17D5B53F&dn=The.Distinguished.Citizen（El.ciudadano.ilustre）2016.1080p.ESP.Blu-ray.DTS.x264-CHD[lightyear.club]&www=pniao.com",加斯顿·杜帕拉特,奥斯卡·马丁内兹,"剧情,喜剧",阿根廷,8.4,129,2016年威尼斯电影节主竞赛单元作品&最佳男演员；2017年西班牙戈雅奖 - 最佳伊比利亚美洲电影。该片讲述了一位旅欧多年的诺贝尔文学奖得主时隔四十年后受邀重返故土的故事。 小说家丹尼尔（奥斯卡·马丁内兹 Oscar Martínez 饰）...
燃情岁月,1994,133,,"ed2k://|file|燃情岁月.Legends.of.the.Fall.1994.BD.MiniSD-TLF.mkv|1068652023|32F3CE254B2A5BE877CF6278869A6D9B|/, ed2k://|file|千与千寻.Spirited.Away.2001.HDTV.3Audio.MiniSD-TLF.mkv|1072414005|424BB07E55E0A44DD701F7D915BE439C|/, ed2k://|file|Legends.Of.The.Fall.1994.燃情岁月.双语字幕.HR-HDTV.AC3.1024X576.X264-YYeTs人人影视.mkv|2126769632|DA1F2CEA62CE14868D16E2A99927E9E2|h=3IV3KHX2YM4OMZKOGVGYBJJN726YRJFE|/, magnet:?xt=urn:btih:37561b98b62479326a7e10b7af82a31ae2f0dc01&www=pniao.com, magnet:?xt=urn:btih:e48c2bbcbc9254bf3e17b042b9d98bc6fd7e6ddf&www=pniao.com, magnet:?xt=urn:btih:76dad1dee7fa73d623910ddbc0d514d9163de6a5&www=pniao.com, magnet:?xt=urn:btih:4c4abd0e96e03a8c4c5e28b3e22cb568b2415e3b&www=pniao.com, magnet:?xt=urn:btih:7cf27420ac21222cb5e546be357d90ead3eb648a&www=pniao.com, magnet:?xt=urn:btih:bc7514879c64b35886ca415629180848670927b5&www=pniao.com, magnet:?xt=urn:btih:095c4106b76b77792255058dc04139fa162530b3&www=pniao.com, magnet:?xt=urn:btih:3147F36CE1E77E37C866128F6C58C999BA604F6E&www=pniao.com, magnet:?xt=urn:btih:32C01EB406979AB3C9FC36285E418934BEA5D5F6&www=pniao.com",爱德华·兹威克,安东尼·霍普金斯,"剧情,爱情,家庭",美国,8.7,33,爱德华·兹威克执导的一部电影，由安东尼·霍普金斯、布拉德·皮特主演。 影片主要讲述美军上校威廉厌恶战争，带着三个儿子隐居，而女主角苏珊娜是最小的弟弟山姆的未婚妻，兄弟三个没有听父亲的警告参加了战争，最后山姆战死，二哥特里斯坦将山姆的心脏运回...
赛末点,2005,124,,"http://pan.baidu.com/s/1ge7uhOJ 密码:dqv6, ed2k://|file|Match.Point.爱情决胜点.双语字幕.HR-HDTV.AC3.960X512.x264-人人影视制作.avi|2174627840|4B43D4682EBCF34364108DF36425F526|h=MRC65ZMHMU74PQOLSYWXXODMCB5GCHPW|/, magnet:?xt=urn:btih:815fdef3e401140b10325237e403d4b1e45f1e14&www=pniao.com, magnet:?xt=urn:btih:9ae1cb6900b005bcf9bee55f8bae45e9dc212e71&www=pniao.com, magnet:?xt=urn:btih:bd5cd716f84a8dece8c1d08b52ae7851b535ffbe&www=pniao.com, magnet:?xt=urn:btih:2554fd411c9d1eb513e17ecc220bb464a4dc5fc1&www=pniao.com, magnet:?xt=urn:btih:F904BB855F529787DB2ADC55639C7334505A1F12&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV8TWF0Y2guUG9pbnQuJUU3JTg4JUIxJUU2JTgzJTg1JUU1JTg2JUIzJUU4JTgzJTlDJUU3JTgyJUI5LiVFNSU4RiU4QyVFOCVBRiVBRCVFNSVBRCU5NyVFNSVCOSU5NS5IUi1IRFRWLkFDMy45NjBYNTEyLngyNjQtJUU0JUJBJUJBJUU0JUJBJUJBJUU1JUJEJUIxJUU4JUE3JTg2JUU1JTg4JUI2JUU0JUJEJTlDLmF2aXwyMTc0NjI3ODQwfDRCNDNENDY4MkVCQ0YzNDM2NDEwOERGMzY0MjVGNTI2fGg9TVJDNjVaTUhNVTc0UFFPTFNZV1hYT0RNQ0I1R0NIUFd8L1pa",伍迪·艾伦,乔纳森·莱斯·梅耶斯,"剧情,爱情,悬疑",英国,8.1,22,导演伍迪·艾伦执导一部剧情片，斯嘉丽·约翰逊、艾米莉·莫迪默和乔纳森·莱斯·梅耶斯等联袂出演。 电影主要讲述一位偶然利用婚情混入英国伦敦上流社会的小白脸克里斯杀人越祸的故事。
